매입임대고유번호,자치구,법정동,지번,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,지형높이,지형형상,도로접면,OSC공법유형
1640,관악구,봉천동,1617-2,145.50,59.89,178.39,단독주택,21.9,6,완경사,정방형,세로한면(가),소형
1641,관악구,봉천동,1691-17,0.00,0.00,0.00,공동주택,45.1,1,완경사,사다리형,세로한면(가),
1642,관악구,신림동,10-130,,,,,,,완경사,세로장방,세로한면(가),소형
1643,관악구,신림동,90-58,248.00,59.83,155.54,공동주택,20.9,6,완경사,사다리형,세로한면(가),소형
1644,관악구,신림동,92-58,129.45,59.94,223.99,단독주택,31.3,5,급경사,사다리형,세로한면(가),소형
1645,관악구,신림동,92-72,129.50,59.66,102.25,단독주택,31.8,5,급경사,정방형,세로한면(불),
1646,관악구,신림동,92-73,126.00,59.42,113.30,단독주택,29.2,9,급경사,정방형,세로한면(불),소형
1647,관악구,신림동,92-225,208.00,58.82,162.28,공동주택,21.7,6,급경사,가로장방,세로한면(가),소형
1648,관악구,신림동,92-332,157.00,59.62,194.61,단독주택,27.5,8,급경사,세로장방,세로한면(가),소형
1649,관악구,신림동,94-171,117.70,59.83,178.85,단독주택,31.6,9,급경사,세로장방,세로한면(가),소형
1650,관악구,신림동,94-186,180.95,59.97,179.50,단독주택,31.5,8,완경사,사다리형,세로한면(가),소형
1651,관악구,신림동,95-24,181.75,54.96,110.66,단독주택,28.1,15,평지,사다리형,세로한면(불),소형
1652,관악구,신림동,95-80,289.00,59.95,160.47,단독주택,31.4,9,완경사,사다리형,세로각지(가),소형
1653,관악구,신림동,98-55,188.00,59.90,135.99,단독주택,31.7,5,급경사,정방형,세로한면(가),소형
1654,관악구,신림동,98-85,140.88,57.64,103.50,단독주택,28.5,11,급경사,정방형,세로한면(가),소형
1655,관악구,신림동,98-119,220.00,59.90,161.32,단독주택,30.9,6,급경사,세로장방,세로한면(가),소형
1656,관악구,신림동,98-196,140.00,57.32,156.08,단독주택,28.1,9,급경사,정방형,세로각지(가),소형
1657,관악구,신림동,98-207,192.00,59.91,161.13,단독주택,32.2,6,급경사,정방형,세로한면(가),소형
1658,관악구,신림동,98-234,169.00,59.58,113.20,단독주택,31.4,6,급경사,정방형,세로한면(가),소형
1659,관악구,신림동,98-241,170.20,59.98,110.88,단독주택,31.1,10,급경사,자루형,세로한면(가),소형
1660,관악구,신림동,98-365,169.73,0.00,167.38,단독주택,32.6,6,급경사,가로장방,세로각지(가),소형
1661,관악구,신림동,98-366,,,,,,,급경사,세로장방,세로한면(가),소형
1662,관악구,신림동,98-384,185.00,59.98,0.00,공동주택,20.5,8,급경사,정방형,세로한면(가),소형
1663,관악구,신림동,98-405,177.00,58.90,133.36,단독주택,31.1,8,급경사,정방형,세로각지(가),소형
1664,관악구,신림동,98-406,265.40,59.54,211.86,공동주택,22.4,8,급경사,가로장방,세로한면(가),소형
1665,관악구,신림동,102-23,212.00,59.67,87.76,단독주택,27.1,8,급경사,세로장방,세로한면(가),소형
1666,관악구,신림동,102-46,211.70,50.24,213.80,단독주택,34.0,11,급경사,세로장방,세로한면(가),소형
1668,관악구,신림동,108-9,331.00,59.91,175.90,단독주택,31.7,8,평지,사다리형,세로각지(가),소형
1670,관악구,신림동,127-36,185.00,59.21,141.91,단독주택,30.5,6,완경사,부정형,세로한면(가),소형
1671,관악구,신림동,251-130,154.80,59.98,103.68,단독주택,30.6,6,완경사,세로장방,세로한면(불),소형
1672,관악구,신림동,251-131,132.40,49.75,108.06,단독주택,35.1,5,완경사,세로장방,세로한면(불),소형
1673,관악구,신림동,251-169,132.00,0.00,113.81,단독주택,33.3,5,완경사,세로장방,세로한면(불),소형
1674,관악구,신림동,251-503,,,,,,,급경사,부정형,소로각지,소형
1675,관악구,신림동,254-1,,,,,,,급경사,사다리형,세로한면(가),소형
1676,관악구,신림동,254-213,268.00,54.27,0.00,단독주택,28.4,15,급경사,세로장방,세로한면(가),소형
1679,관악구,신림동,306-33,176.74,59.90,146.73,단독주택,32.2,6,급경사,정방형,세로한면(가),소형
1681,관악구,신림동,409-30,,,,,,,급경사,가로장방,세로한면(가),소형
1682,관악구,신림동,409-164,179.00,59.93,155.97,단독주택,31.1,8,완경사,세로장방,세로한면(가),소형
1683,관악구,신림동,412-104,157.94,59.68,103.02,단독주택,32.1,5,급경사,가로장방,세로각지(가),소형
1684,관악구,신림동,412-133,165.00,59.96,144.82,단독주택,30.4,6,급경사,세로장방,세로한면(가),소형
1685,관악구,신림동,412-216,,,,,,,급경사,사다리형,세로한면(가),소형
1686,관악구,신림동,412-217,0.00,57.64,0.00,단독주택,28.8,6,급경사,사다리형,세로한면(가),소형
1687,관악구,신림동,412-320,156.43,0.00,126.23,단독주택,33.5,5,급경사,세로장방,세로한면(가),소형
1688,관악구,신림동,412-398,,,,,,,완경사,세로장방,세로한면(가),소형
1689,관악구,신림동,412-475,0.00,59.25,0.00,단독주택,31.0,7,급경사,세로장방,세로한면(가),소형
1690,관악구,신림동,441-36,159.00,60.12,146.96,단독주택,22.7,5,완경사,세로장방,세로한면(가),소형
1691,관악구,신림동,441-41,105.85,59.39,173.53,단독주택,22.0,3,완경사,사다리형,세로한면(가),소형
1692,관악구,신림동,459-16,139.00,56.06,180.04,단독주택,22.4,4,평지,가로장방,세로한면(가),소형
1693,관악구,신림동,459-38,142.00,58.17,168.75,단독주택,21.8,13,평지,세로장방,세로한면(가),소형
1694,관악구,신림동,463-62,134.00,0.00,144.74,단독주택,32.7,5,평지,사다리형,세로한면(가),소형
1695,관악구,신림동,465-3,,,,,,,완경사,사다리형,세로한면(가),소형
1696,관악구,신림동,468-13,0.00,59.43,0.00,단독주택,24.1,6,평지,자루형,세로한면(가),소형
1697,관악구,신림동,468-20,0.00,57.25,0.00,단독주택,28.0,5,평지,세로장방,세로한면(가),소형
1698,관악구,신림동,469-16,184.50,59.89,94.07,단독주택,23.2,5,평지,세로장방,세로한면(불),소형
1700,관악구,신림동,473-9,174.20,59.95,163.93,단독주택,31.8,7,평지,세로장방,세로한면(가),소형
1701,관악구,신림동,485-40,142.74,0.00,108.71,단독주택,33.5,5,평지,자루형,세로한면(가),소형
1702,관악구,신림동,488-3,151.10,56.21,167.96,단독주택,26.2,7,평지,가로장방,세로한면(가),소형
1703,관악구,신림동,494-45,214.60,53.28,99.81,단독주택,22.6,4,평지,자루형,세로한면(가),소형
1704,관악구,신림동,503-25,0.00,51.63,0.00,단독주택,31.2,6,평지,자루형,중로한면,소형
1705,관악구,신림동,505-5,205.30,58.85,95.45,단독주택,21.2,10,평지,자루형,세로한면(가),소형
1706,관악구,신림동,505-8,238.70,48.49,131.26,단독주택,28.3,8,평지,세로장방,세로한면(가),소형
1707,관악구,신림동,510-35,203.60,54.39,82.38,단독주택,30.5,5,평지,자루형,소로한면,
1708,관악구,신림동,569-43,351.40,48.74,166.17,단독주택,27.4,5,평지,가로장방,세로한면(불),소형
1710,관악구,신림동,570-23,276.70,59.94,109.91,단독주택,31.4,5,평지,자루형,소로한면,소형
1711,관악구,신림동,592-7,147.10,0.00,96.59,단독주택,33.3,8,평지,세로장방,세로한면(불),소형
1712,관악구,신림동,596-18,249.90,0.00,80.90,단독주택,33.7,8,평지,사다리형,세로한면(가),소형
1713,관악구,신림동,597-50,75.53,59.81,105.44,단독주택,29.2,5,급경사,정방형,세로한면(가),소형
1714,관악구,신림동,597-57,0.00,59.34,0.00,단독주택,32.0,5,급경사,정방형,세로각지(가),소형
1715,관악구,신림동,597-74,0.00,59.80,0.00,단독주택,32.4,7,완경사,정방형,세로각지(가),소형
1716,관악구,신림동,597-76,190.28,59.98,104.70,단독주택,31.4,5,완경사,정방형,세로한면(가),소형
1717,관악구,신림동,598-73,169.40,59.72,104.88,단독주택,28.5,5,급경사,정방형,소로각지,소형
1718,관악구,신림동,598-132,188.00,59.92,114.40,단독주택,31.2,6,완경사,정방형,세로각지(가),소형
1719,관악구,신림동,598-147,,,,,,,완경사,가로장방,세로각지(가),소형
1720,관악구,신림동,598-190,170.00,59.78,167.72,단독주택,27.5,7,급경사,세로장방,세로한면(가),소형
1721,관악구,신림동,598-243,0.00,0.00,0.00,단독주택,34.5,4,완경사,정방형,세로한면(가),소형
1722,관악구,신림동,598-248,,,,,,,완경사,정방형,세로한면(가),소형
1723,관악구,신림동,598-316,106.00,59.77,105.73,단독주택,28.5,5,급경사,정방형,세로한면(가),소형
1724,관악구,신림동,608-1,,,,,,,완경사,자루형,세로한면(가),소형
1725,관악구,신림동,610-1,0.00,58.10,0.00,단독주택,31.1,7,완경사,세로장방,세로한면(가),소형
1726,관악구,신림동,610-9,166.00,56.91,149.17,단독주택,30.5,10,급경사,세로장방,세로각지(가),소형
1727,관악구,신림동,610-14,,,,,,,급경사,세로장방,세로한면(가),소형
1728,관악구,신림동,610-37,0.00,59.94,168.99,단독주택,31.3,7,급경사,세로장방,세로한면(가),소형
1729,관악구,신림동,610-38,169.00,58.86,149.03,단독주택,31.8,8,급경사,세로장방,세로한면(가),소형
1730,관악구,신림동,610-39,165.00,0.00,157.91,단독주택,33.8,5,급경사,세로장방,세로한면(가),소형
1732,관악구,신림동,610-88,165.00,0.00,157.28,단독주택,33.4,6,완경사,세로장방,세로한면(가),소형
1733,관악구,신림동,610-107,,,,,,,완경사,세로장방,세로한면(가),소형
1738,관악구,신림동,610-361,0.00,59.42,0.00,단독주택,26.9,6,급경사,세로장방,세로한면(가),소형
1739,관악구,신림동,610-370,0.00,59.94,0.00,단독주택,27.5,7,급경사,세로장방,세로각지(가),소형
1740,관악구,신림동,610-371,0.00,57.68,0.00,단독주택,31.2,7,급경사,가로장방,세로한면(가),소형
1741,관악구,신림동,610-376,0.00,59.90,166.49,단독주택,31.3,6,급경사,가로장방,세로한면(가),소형
1742,관악구,신림동,610-496,163.94,59.93,164.64,단독주택,31.7,5,완경사,세로장방,세로각지(가),소형
1743,관악구,신림동,610-502,165.00,59.30,152.93,단독주택,31.5,6,완경사,부정형,세로한면(가),소형
1744,관악구,신림동,610-514,165.00,58.87,110.60,단독주택,30.8,9,급경사,세로장방,세로한면(가),소형
1745,관악구,신림동,610-535,162.00,56.93,108.67,단독주택,31.3,7,완경사,세로장방,세로한면(가),소형
1747,관악구,신림동,610-587,155.00,0.00,109.23,단독주택,33.7,5,완경사,가로장방,세로각지(가),소형
1748,관악구,신림동,611-36,152.00,0.00,152.18,단독주택,37.5,4,평지,사다리형,세로한면(가),소형
1749,관악구,신림동,611-69,165.00,59.88,143.09,단독주택,26.5,5,완경사,세로장방,세로한면(가),소형
1750,관악구,신림동,618-10,162.00,59.73,0.00,단독주택,29.2,5,평지,세로장방,세로한면(가),소형
1751,관악구,신림동,622-11,0.00,58.27,0.00,단독주택,31.2,7,평지,사다리형,세로한면(불),소형
1752,관악구,신림동,626-58,0.00,57.92,167.45,단독주택,28.5,4,완경사,정방형,세로한면(가),소형
1754,관악구,신림동,629-54,152.00,0.00,93.20,단독주택,35.4,5,완경사,정방형,세로한면(가),소형
1755,관악구,신림동,633-25,126.00,59.90,106.07,단독주택,29.4,6,평지,세로장방,세로한면(가),소형
1756,관악구,신림동,639-13,180.00,58.89,108.78,단독주택,28.4,6,평지,사다리형,세로각지(가),소형
1757,관악구,신림동,646-288,102.00,53.12,0.00,단독주택,28.4,6,급경사,사다리형,세로한면(불),소형
1758,관악구,신림동,646-289,0.00,59.29,143.60,단독주택,31.6,6,급경사,정방형,세로한면(불),소형
1762,관악구,신림동,652-99,173.05,59.98,144.94,단독주택,27.4,8,완경사,사다리형,세로한면(가),소형
1764,관악구,신림동,673-31,126.00,59.62,99.53,단독주택,32.0,7,평지,세로장방,세로한면(가),소형
1765,관악구,신림동,673-77,178.52,59.41,148.08,단독주택,31.6,8,평지,사다리형,세로각지(가),소형
1766,관악구,신림동,675-97,116.00,58.39,106.98,단독주택,31.1,5,완경사,사다리형,소로한면,중형
1767,관악구,신림동,675-107,,,,,,,완경사,세로장방,세로한면(가),소형
1768,관악구,신림동,706-14,0.00,59.87,0.00,단독주택,30.5,5,평지,사다리형,세로한면(가),소형
1769,관악구,신림동,706-98,97.61,0.00,102.40,단독주택,33.4,6,평지,사다리형,세로한면(가),소형
1770,관악구,신림동,709-1,,,,,,,평지,부정형,세로한면(가),소형
1771,관악구,신림동,711-13,255.00,0.00,0.00,단독주택,33.2,5,완경사,사다리형,세로한면(가),소형
1772,관악구,신림동,711-78,0.00,59.95,142.41,단독주택,30.5,3,평지,사다리형,세로각지(가),소형
1773,관악구,신림동,711-79,,,,,,,완경사,세로장방,세로각지(가),소형
1775,관악구,신림동,748-28,82.10,57.38,0.00,단독주택,31.1,5,평지,부정형,세로한면(가),소형
1776,관악구,신림동,752-10,118.69,59.86,97.50,단독주택,22.4,5,평지,사다리형,세로한면(가),소형
1778,관악구,신림동,1449-32,175.00,0.00,103.78,단독주택,33.8,5,평지,사다리형,세로한면(가),소형
1779,관악구,신림동,1450-7,0.00,59.65,107.43,단독주택,28.8,6,평지,세로장방,세로한면(가),소형
1780,관악구,신림동,1491-8,104.10,57.37,136.70,단독주택,31.3,6,평지,자루형,세로한면(가),소형
1783,관악구,신림동,1561-19,175.90,59.14,168.06,단독주택,28.0,17,완경사,정방형,소로한면,중형
1784,관악구,신림동,1563-32,234.00,59.99,99.89,단독주택,27.4,7,완경사,정방형,세로한면(가),소형
1785,관악구,신림동,1563-33,166.10,59.47,177.61,단독주택,26.5,6,완경사,정방형,세로한면(가),소형
1786,관악구,신림동,1563-54,166.80,59.76,170.81,단독주택,26.4,7,완경사,정방형,세로각지(가),소형
1788,관악구,신림동,1564-24,0.00,59.67,178.42,단독주택,31.3,9,급경사,정방형,세로한면(가),소형
1789,관악구,신림동,1570-12,173.80,59.87,175.88,단독주택,31.5,5,평지,정방형,세로한면(가),소형
1790,관악구,신림동,1571-6,158.20,40.23,0.00,단독주택,31.9,5,평지,자루형,세로한면(가),소형
1791,관악구,신림동,1571-21,165.90,58.50,148.45,단독주택,31.4,7,평지,세로장방,소로한면,
1792,관악구,신림동,1571-22,236.70,59.30,117.77,단독주택,31.3,8,평지,세로장방,소로한면,중형
1793,관악구,신림동,1573-6,233.10,59.88,79.89,단독주택,29.2,5,평지,정방형,세로한면(가),소형
1794,관악구,신림동,1573-28,118.50,57.50,98.16,단독주택,26.7,12,평지,세로장방,소로한면,중형
1796,관악구,신림동,1574-31,278.00,58.26,99.56,단독주택,27.1,8,평지,세로장방,세로각지(가),소형
1797,관악구,신림동,1629-6,193.80,0.00,105.86,단독주택,33.6,5,평지,사다리형,세로각지(가),소형
1798,관악구,신림동,1631-38,0.00,59.56,114.99,단독주택,31.2,7,평지,자루형,세로한면(가),소형
1799,관악구,신림동,1652-12,201.90,0.00,174.79,단독주택,34.3,5,평지,가로장방,세로한면(가),소형
1800,관악구,신림동,1678-35,0.00,59.87,0.00,단독주택,23.7,10,완경사,정방형,소로각지,중형
1801,관악구,남현동,1053-12,252.60,49.75,106.33,단독주택,27.6,9,완경사,자루형,세로한면(가),소형
1346,강서구,공향동,40-36,155.00,59.79,170.99,단독주택,25.1,8,평지,사다리형,세로한면(가),소형
1349,강서구,공향동,301-60,136.00,59.83,170.36,단독주택,27.4,9,평지,자루형,소로한면,소형
1353,강서구,공향동,1349-3,174.00,50.46,142.76,단독주택,23.0,6,평지,정방형,소로한면,중형
1354,강서구,공향동,1352-4,167.90,59.32,176.82,단독주택,22.5,9,평지,가로장방,소로한면,중형
1355,강서구,공향동,1352-11,166.50,59.95,179.86,단독주택,25.0,5,평지,가로장방,소로한면,중형
1358,강서구,방화동,251-21,215.00,53.51,152.48,단독주택,22.4,5,평지,세로장방,세로한면(가),소형
1360,강서구,방화동,536-14,166.00,59.90,175.36,단독주택,27.3,5,평지,사다리형,세로각지(가),소형
1361,강서구,방화동,564-65,283.54,46.30,114.74,단독주택,30.0,7,평지,부정형,세로한면(가),소형
1362,강서구,방화동,575-18,164.00,59.96,157.62,단독주택,27.2,5,평지,사다리형,세로한면(불),소형
1013,양천구,신정동,910-5,0.00,0.00,0.00,단독주택,34.2,6,평지,자루형,세로한면(가),소형
1017,양천구,신정동,923-7,129.30,59.95,239.81,공동주택,20.8,7,완경사,정방형,세로한면(가),소형
1018,양천구,신정동,926-10,,,,,,,평지,자루형,세로한면(가),소형
1020,양천구,신정동,928-13,0.00,59.92,0.00,단독주택,31.4,5,완경사,정방형,세로한면(가),소형
1024,양천구,신정동,940-17,120.00,59.74,107.40,단독주택,31.1,5,완경사,정방형,세로한면(가),소형
1025,양천구,신정동,950-14,128.30,58.26,114.85,단독주택,27.2,3,완경사,자루형,소로한면,소형
1026,양천구,신정동,957-1,101.53,59.82,104.60,공동주택,23.0,1,평지,정방형,세로각지(가),
1028,양천구,신정동,957-29,163.60,51.23,234.77,단독주택,23.0,6,평지,자루형,세로한면(가),소형
1032,양천구,신정동,1012-2,170.30,57.90,171.79,단독주택,33.4,5,완경사,세로장방,소로한면,중형
1033,양천구,신정동,1016-15,210.10,55.36,110.73,단독주택,32.4,7,평지,세로장방,소로한면,
1034,양천구,신정동,1016-23,124.80,58.32,152.55,단독주택,32.4,6,평지,세로장방,세로한면(가),소형
1035,양천구,신정동,1019-19,139.90,59.10,148.90,단독주택,32.1,7,평지,정방형,소로각지,중형
1036,양천구,신정동,1026-14,132.20,53.32,96.79,단독주택,33.3,5,평지,자루형,세로한면(가),소형
1037,양천구,신정동,1198-18,130.50,59.24,165.38,단독주택,27.7,7,완경사,세로장방,세로한면(가),소형
1038,양천구,신정동,1217-8,189.20,58.03,153.69,단독주택,28.6,7,완경사,가로장방,세로각지(가),소형
1080,양천구,신월동,18-9,187.90,44.35,88.65,단독주택,33.2,7,평지,자루형,중로한면,소형
1082,양천구,신월동,19-27,,,,,,,평지,세로장방,세로한면(불),소형
1083,양천구,신월동,29-14,0.00,59.88,0.00,단독주택,33.4,6,평지,정방형,세로각지(가),소형
1085,양천구,신월동,58-33,106.80,59.91,118.30,단독주택,32.2,5,평지,정방형,세로한면(가),소형
1086,양천구,신월동,58-37,127.50,59.28,102.80,공동주택,22.1,6,평지,가로장방,세로한면(불),소형
1087,양천구,신월동,64-7,175.70,59.67,208.67,단독주택,31.3,5,평지,세로장방,소로한면,중형
1089,양천구,신월동,75-10,166.00,0.00,113.44,단독주택,34.6,5,평지,정방형,세로한면(가),소형
1090,양천구,신월동,76-6,,,,,,,평지,가로장방,세로각지(가),소형
1094,양천구,신월동,84-7,0.00,52.56,0.00,단독주택,30.6,7,평지,세로장방,세로한면(가),소형
1095,양천구,신월동,84-15,180.80,59.98,146.55,단독주택,30.5,5,평지,사다리형,세로한면(가),소형
1096,양천구,신월동,91-23,184.40,58.93,139.40,공동주택,22.0,1,평지,자루형,세로한면(가),소형
1097,양천구,신월동,94-3,138.30,56.28,86.74,단독주택,33.4,5,평지,사다리형,세로각지(가),
1099,양천구,신월동,98-11,205.40,55.11,189.56,단독주택,30.4,5,평지,세로장방,세로한면(불),소형
1100,양천구,신월동,98-29,144.30,49.60,110.67,단독주택,33.1,5,평지,세로장방,세로한면(불),소형
1101,양천구,신월동,105-23,147.50,48.73,103.72,단독주택,34.6,4,평지,자루형,중로한면,소형
1102,양천구,신월동,106-14,165.30,60.88,104.86,단독주택,31.4,5,평지,자루형,세로한면(가),소형
1103,양천구,신월동,107-8,144.30,56.37,106.89,단독주택,31.0,5,평지,정방형,세로한면(가),소형
1104,양천구,신월동,107-13,126.10,0.00,108.82,단독주택,34.2,5,평지,세로장방,세로한면(불),소형
1105,양천구,신월동,110-20,115.80,58.90,100.53,단독주택,31.2,5,평지,세로장방,세로한면(가),소형
1106,양천구,신월동,110-25,,,,,,,평지,정방형,세로한면(가),소형
1107,양천구,신월동,114-25,0.00,54.18,0.00,단독주택,32.1,3,평지,자루형,세로한면(가),소형
1108,양천구,신월동,121-13,149.50,0.00,99.13,단독주택,34.1,5,평지,자루형,세로한면(가),소형
1109,양천구,신월동,123-19,240.00,59.91,175.30,단독주택,29.8,7,평지,자루형,세로한면(가),소형
1110,양천구,신월동,124-4,276.90,59.92,214.56,공동주택,21.7,1,평지,세로장방,세로한면(가),
1111,양천구,신월동,124-22,151.10,53.89,92.92,단독주택,31.4,5,평지,자루형,중로한면,소형
1113,양천구,신월동,132-5,235.60,36.74,73.47,단독주택,32.6,5,평지,자루형,세로한면(가),소형
1114,양천구,신월동,133-28,150.90,59.59,113.07,단독주택,30.8,5,평지,세로장방,세로한면(가),소형
1122,양천구,신월동,200-24,127.15,57.10,104.60,단독주택,31.3,5,평지,자루형,세로한면(가),소형
1123,양천구,신월동,207-3,163.00,59.59,167.30,단독주택,30.5,5,평지,세로장방,세로한면(가),소형
1127,양천구,신월동,226-4,147.00,58.66,109.54,단독주택,30.8,5,평지,자루형,중로한면,소형
1129,양천구,신월동,232-25,148.58,57.79,133.27,단독주택,30.6,5,평지,자루형,세로한면(가),소형
1131,양천구,신월동,233-6,116.60,59.62,111.18,단독주택,31.2,5,평지,자루형,세로한면(가),소형
1132,양천구,신월동,233-7,116.50,59.48,111.27,단독주택,31.2,5,평지,자루형,세로한면(가),소형
1133,양천구,신월동,233-12,133.30,48.68,97.36,단독주택,33.1,5,평지,자루형,세로한면(가),소형
1134,양천구,신월동,233-23,231.50,58.93,215.46,공동주택,31.6,1,평지,가로장방,세로한면(가),
1135,양천구,신월동,233-25,,,,,,,평지,정방형,세로한면(불),소형
1136,양천구,신월동,242-12,0.00,0.00,0.00,단독주택,34.3,5,평지,세로장방,세로각지(가),소형
1137,양천구,신월동,243-22,0.00,0.00,0.00,단독주택,34.4,7,평지,정방형,세로한면(가),소형
1141,양천구,신월동,439-2,0.00,53.73,214.92,공동주택,33.4,1,평지,세로장방,세로한면(가),
1150,강서구,등촌동,365-50,176.10,43.79,87.57,단독주택,34.8,10,완경사,세로장방,세로각지(가),소형
1151,강서구,등촌동,533-41,188.00,59.68,165.53,단독주택,24.3,6,평지,사다리형,세로각지(가),소형
1152,강서구,등촌동,568-27,186.10,59.90,112.50,단독주택,31.2,5,완경사,세로장방,세로한면(가),소형
1153,강서구,등촌동,569-5,145.00,59.95,119.91,단독주택,31.9,5,완경사,정방형,세로한면(가),소형
1154,강서구,등촌동,569-14,149.00,59.45,113.68,단독주택,28.9,5,완경사,정방형,세로한면(가),소형
1155,강서구,등촌동,647-19,165.00,59.87,119.75,단독주택,29.3,5,평지,세로장방,세로한면(가),소형
1158,강서구,화곡동,24-221,131.00,58.27,156.48,단독주택,32.2,9,평지,정방형,세로한면(가),소형
1159,강서구,화곡동,29-14,0.00,59.88,0.00,단독주택,33.4,6,평지,정방형,세로한면(가),
1160,강서구,화곡동,29-87,265.00,38.29,112.36,단독주택,27.4,5,평지,사다리형,세로한면(불),소형
1161,강서구,화곡동,29-199,341.00,58.57,155.89,단독주택,28.5,8,평지,사다리형,세로한면(가),소형
1163,강서구,화곡동,46-15,200.30,51.90,134.02,단독주택,29.3,11,평지,세로장방,세로한면(가),소형
1165,강서구,화곡동,46-294,229.55,44.95,90.47,단독주택,34.3,5,평지,세로장방,세로한면(가),소형
1166,강서구,화곡동,46-308,198.00,54.32,105.64,단독주택,33.3,5,평지,세로장방,세로한면(가),소형
1167,강서구,화곡동,50-72,126.15,59.84,157.44,단독주택,26.9,5,완경사,세로장방,세로각지(가),소형
1169,강서구,화곡동,50-81,139.00,59.93,114.70,단독주택,31.4,5,완경사,사다리형,세로한면(가),소형
1170,강서구,화곡동,50-94,152.00,52.29,103.08,단독주택,33.0,5,완경사,세로장방,세로한면(가),소형
1173,강서구,화곡동,55-71,179.79,59.62,174.56,단독주택,27.0,6,완경사,세로장방,세로한면(가),소형
1175,강서구,화곡동,55-95,169.00,59.85,112.11,단독주택,27.3,4,완경사,정방형,세로한면(가),소형
1176,강서구,화곡동,56-16,198.00,58.12,112.74,단독주택,33.3,5,완경사,정방형,세로각지(가),소형
1178,강서구,화곡동,56-85,192.00,58.32,174.97,단독주택,23.5,6,완경사,세로장방,세로한면(가),소형
1184,강서구,화곡동,56-224,185.00,47.01,91.83,단독주택,33.9,5,완경사,세로장방,세로한면(가),소형
1189,강서구,화곡동,56-424,180.81,59.85,209.76,공동주택,22.4,1,완경사,세로장방,세로한면(가),
1190,강서구,화곡동,56-489,185.00,50.11,98.50,단독주택,34.0,4,완경사,가로장방,세로각지(가),소형
1191,강서구,화곡동,56-493,116.00,59.90,218.36,공동주택,21.8,1,완경사,사다리형,세로각지(가),
1192,강서구,화곡동,56-509,148.00,49.80,99.60,단독주택,34.1,4,완경사,세로장방,세로한면(가),소형
1193,강서구,화곡동,56-522,150.10,58.96,108.29,단독주택,31.6,5,완경사,세로장방,세로한면(가),소형
1194,강서구,화곡동,56-542,191.72,48.49,80.74,공동주택,31.8,5,완경사,자루형,세로한면(가),소형
1196,강서구,화곡동,57-21,162.00,58.36,97.68,공동주택,31.3,5,완경사,세로장방,세로한면(가),소형
1198,강서구,화곡동,59-39,233.00,53.17,86.60,단독주택,27.1,5,평지,자루형,세로한면(가),소형
1200,강서구,화곡동,61-89,255.00,59.91,174.46,단독주택,27.5,9,완경사,정방형,세로한면(가),소형
1201,강서구,화곡동,61-113,188.10,59.35,163.39,단독주택,30.9,7,평지,정방형,소로한면,중형
1202,강서구,화곡동,95-102,150.01,58.88,160.22,단독주택,28.4,7,완경사,세로장방,세로한면(가),소형
1203,강서구,화곡동,98-31,254.00,59.24,160.71,단독주택,29.3,14,평지,사다리형,세로한면(가),소형
1205,강서구,화곡동,102-170,188.00,59.86,175.80,공동주택,23.3,1,완경사,가로장방,세로한면(가),
1206,강서구,화곡동,102-356,,,,,,,완경사,가로장방,세로한면(가),소형
1207,강서구,화곡동,105-437,0.00,59.36,0.00,단독주택,28.0,8,완경사,사다리형,세로한면(불),소형
1209,강서구,화곡동,105-426,241.00,44.22,159.52,공동주택,38.7,1,완경사,세로장방,세로한면(가),
1210,강서구,화곡동,151-12,205.00,53.43,80.73,단독주택,32.8,8,완경사,세로장방,세로한면(가),소형
1211,강서구,화곡동,156-27,244.90,59.97,103.54,단독주택,28.4,5,완경사,세로장방,세로한면(가),소형
1212,강서구,화곡동,156-29,188.00,51.80,115.86,단독주택,34.2,6,완경사,세로장방,소로한면,중형
1213,강서구,화곡동,158-10,140.10,51.43,103.60,공동주택,33.2,1,완경사,정방형,세로각지(가),
1214,강서구,화곡동,158-27,252.56,59.46,151.33,단독주택,27.1,7,완경사,세로장방,세로한면(가),소형
1215,강서구,화곡동,158-46,191.70,44.33,150.01,공동주택,27.2,1,완경사,정방형,세로한면(가),
1218,강서구,화곡동,167-41,320.20,58.34,164.13,단독주택,30.0,8,완경사,가로장방,소로각지,중형
1219,강서구,화곡동,167-42,177.10,51.01,145.75,공동주택,22.3,1,완경사,가로장방,세로각지(가),
1221,강서구,화곡동,351-11,283.90,59.86,183.98,단독주택,31.0,5,완경사,세로장방,세로한면(가),소형
1225,강서구,화곡동,359-41,153.00,54.30,111.43,단독주택,33.1,7,평지,세로장방,세로한면(가),소형
1227,강서구,화곡동,366-95,128.52,58.48,104.27,단독주택,28.0,7,평지,세로장방,세로각지(가),소형
1228,강서구,화곡동,368-71,152.10,59.81,142.95,단독주택,28.0,4,평지,세로장방,세로한면(가),소형
1229,강서구,화곡동,369-13,128.50,57.24,153.12,단독주택,33.9,5,평지,세로장방,세로한면(가),소형
1230,강서구,화곡동,369-22,128.20,52.19,101.04,단독주택,29.7,8,평지,세로장방,세로한면(가),소형
1235,강서구,화곡동,395-2,146.80,55.77,149.22,단독주택,27.1,11,완경사,사다리형,세로한면(가),소형
1236,강서구,화곡동,397-26,294.50,0.00,163.47,공동주택,37.7,1,평지,세로장방,세로한면(가),
