매입임대고유번호,자치구,법정동,지번,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,지형높이,지형형상,도로접면,OSC공법유형
1998,송파구,오금동,65-8,,,,,,,평지,사다리형,소로각지,중형
2006,송파구,오금동,119-3,247.00,59.92,164.87,단독주택,27.1,9,평지,사다리형,소로각지,중형
2007,송파구,오금동,120-22,,,,,,,평지,사다리형,세로한면(가),소형
2012,송파구,거여동,30-6,,,,,,,평지,정방형,세로한면(가),소형
2013,송파구,거여동,132-26,,,,,,,평지,정방형,세로한면(불),소형
2014,송파구,거여동,132-36,,,,,,,평지,사다리형,세로한면(가),소형
2015,송파구,거여동,133-1,89.60,50.99,104.11,단독주택,32.9,3,평지,사다리형,세로한면(가),소형
2016,송파구,거여동,133-58,,,,,,,평지,자루형,세로한면(가),소형
2017,송파구,거여동,136-99,0.00,59.60,96.87,단독주택,25.3,4,평지,세로장방,소로한면,중형
2018,송파구,거여동,225-81,,,,,,,평지,세로장방,세로한면(가),소형
2024,송파구,마천동,84-13,118.00,0.00,173.52,공동주택,38.6,4,평지,사다리형,세로한면(가),소형
2025,송파구,마천동,87-28,,,,,,,평지,사다리형,세로한면(가),
2026,송파구,마천동,88-2,,,,,,,평지,사다리형,소로한면,중형
2027,송파구,마천동,95-20,156.00,57.47,110.36,공동주택,21.9,7,평지,사다리형,세로한면(불),소형
2028,송파구,마천동,184-38,,,,,,,평지,사다리형,세로한면(가),소형
2029,송파구,마천동,190-38,152.00,0.00,231.56,단독주택,34.5,5,평지,세로장방,소로한면,
2030,송파구,마천동,193-6,,,,,,,평지,사다리형,세로한면(불),소형
2031,송파구,마천동,197-7,,,,,,,평지,가로장방,세로한면(가),소형
2032,송파구,마천동,207-12,,,,,,,평지,세로장방,세로한면(가),소형
2033,송파구,마천동,207-13,0.00,0.00,166.00,공동주택,37.6,1,평지,세로장방,세로한면(가),소형
2034,송파구,마천동,207-18,,,,,,,평지,가로장방,세로각지(가),소형
2036,송파구,마천동,277-21,,,,,,,평지,사다리형,세로각지(가),
2037,송파구,마천동,279-3,119.00,54.97,0.00,단독주택,27.4,5,평지,사다리형,광대세각,
2038,송파구,마천동,283-84,,,,,,,평지,사다리형,세로한면(가),소형
2039,송파구,마천동,308-20,155.00,55.43,202.84,단독주택,31.1,6,평지,사다리형,세로한면(가),소형
2040,송파구,마천동,309-20,,,,,,,평지,가로장방,세로한면(불),소형
2041,송파구,마천동,309-37,285.00,59.74,147.38,단독주택,31.0,1,평지,자루형,소로한면,소형
2042,송파구,마천동,312-10,,,,,,,평지,세로장방,세로한면(불),소형
2043,송파구,마천동,322-15,114.80,0.00,91.10,공동주택,38.2,5,평지,정방형,세로한면(가),소형
2044,송파구,마천동,323-182,,,,,,,평지,가로장방,세로한면(불),소형
2045,송파구,마천동,336-2,0.00,59.35,149.84,단독주택,31.4,5,완경사,세로장방,세로한면(불),
2046,송파구,마천동,347-1,,,,,,,완경사,정방형,세로각지(가),소형
2047,송파구,마천동,571-5,,,,,,,평지,사다리형,세로각지(가),소형
1803,서초구,방배동,527-8,169.00,54.43,138.87,단독주택,31.0,7,평지,사다리형,세로한면(가),소형
1805,서초구,방배동,593-56,278.00,40.92,122.75,단독주택,27.5,11,완경사,세로장방,세로한면(가),소형
1808,서초구,방배동,793-14,290.86,59.09,170.77,단독주택,29.5,13,평지,자루형,세로한면(가),소형
1809,서초구,방배동,829-7,170.90,58.98,158.15,단독주택,22.1,9,평지,정방형,세로한면(가),소형
1814,서초구,방배동,918-2,218.60,56.91,142.72,단독주택,29.0,16,평지,세로장방,소로한면,중형
1815,서초구,방배동,919-19,247.90,59.98,226.66,공동주택,21.7,16,평지,가로장방,세로각지(가),소형
1816,서초구,방배동,987-12,438.10,57.27,197.11,공동주택,20.5,7,평지,세로장방,소로한면,
1817,서초구,양장동,83-9,301.60,54.60,163.79,단독주택,28.5,12,평지,가로장방,세로한면(가),소형
1823,서초구,양장동,375-1,262.80,59.93,159.36,단독주택,29.9,19,평지,세로장방,세로한면(가),소형
1826,서초구,양장동,397-5,263.60,58.16,151.49,단독주택,32.1,8,평지,세로장방,세로한면(가),소형
1827,서초구,우면동,8-13,187.80,59.53,151.42,단독주택,27.2,9,평지,세로장방,세로각지(가),소형
1828,서초구,잠원동,11-9,170.70,56.40,144.99,단독주택,27.2,10,평지,자루형,세로한면(가),소형
1829,서초구,잠원동,29-16,258.60,59.62,221.83,공동주택,22.3,12,평지,가로장방,세로한면(가),소형
1831,서초구,잠원동,45-12,167.30,59.83,160.34,단독주택,32.1,10,평지,세로장방,세로한면(가),소형
1832,서초구,반포동,742-2,268.60,59.05,168.29,단독주택,27.9,16,평지,정방형,소로한면,중형
1833,서초구,서초동,1427-9,287.60,58.58,191.69,공동주택,23.7,20,평지,세로장방,세로한면(가),소형
1835,서초구,서초동,1428-6,307.30,58.37,161.82,단독주택,28.6,28,평지,자루형,소로한면,소형
1836,서초구,서초동,1430-6,195.90,59.62,150.74,단독주택,29.0,7,평지,사다리형,소로각지,중형
1837,서초구,서초동,1442-12,294.80,59.89,159.56,단독주택,24.1,9,평지,사다리형,세로한면(가),소형
1838,서초구,서초동,1451-28,203.30,59.16,232.20,단독주택,28.7,9,평지,세로장방,세로한면(가),소형
1841,서초구,서초동,1507-3,187.80,59.18,182.70,단독주택,22.8,10,평지,정방형,세로한면(가),소형
1842,서초구,서초동,1507-45,250.50,57.90,151.94,단독주택,29.2,16,평지,세로장방,세로한면(가),소형
1843,서초구,서초동,1508-12,204.40,59.01,216.26,공동주택,28.7,6,평지,세로장방,세로한면(가),소형
1844,서초구,서초동,1515-13,330.50,49.30,145.32,단독주택,29.6,12,평지,세로장방,세로한면(가),소형
1845,서초구,서초동,1610-10,330.40,49.94,99.88,단독주택,29.3,10,평지,부정형,세로한면(가),소형
1846,서초구,서초동,1612-8,330.00,49.50,99.01,단독주택,22.0,9,평지,세로장방,세로한면(가),소형
